State,X,Y,Year,NatGasC
IL,5,4,1963,"655,743"
IL,5,4,1964,"737,326"
IL,5,4,1965,"778,662"
IL,5,4,1966,"868,621"
IL,5,4,1967,"979,649"
IL,5,4,1968,"1,027,219"
IL,5,4,1969,"1,121,210"
IL,5,4,1970,"1,203,225"
IL,5,4,1971,"1,260,009"
IL,5,4,1972,"1,237,471"
IL,5,4,1973,"1,176,722"
IL,5,4,1974,"1,175,830"
IL,5,4,1975,"1,123,588"
IL,5,4,1976,"1,204,616"
IL,5,4,1977,"1,199,778"
IL,5,4,1978,"1,196,435"
IL,5,4,1979,"1,170,615"
IL,5,4,1980,"1,113,694"
IL,5,4,1981,"1,083,196"
IL,5,4,1982,"1,016,051"
IL,5,4,1983,"976,812"
IL,5,4,1984,"1,074,089"
IL,5,4,1985,"1,000,521"
IL,5,4,1986,"943,690"
IL,5,4,1987,"886,538"
IL,5,4,1988,"982,765"
IL,5,4,1989,"1,017,433"
IL,5,4,1990,"960,188"
IL,5,4,1991,"1,006,478"
IL,5,4,1992,"1,011,482"
IL,5,4,1993,"1,053,089"
IL,5,4,1994,"1,046,644"
IL,5,4,1995,"1,099,670"
IL,5,4,1996,"1,140,520"
IL,5,4,1997,"1,099,809"
IL,5,4,1998,"978,337"
IL,5,4,1999,"1,026,415"
IL,5,4,2000,"1,053,319"
IL,5,4,2001,"970,648"
IL,5,4,2002,"1,063,528"
IL,5,4,2003,"1,013,464"
IL,5,4,2004,"966,552"
IL,5,4,2005,"984,187"
IL,5,4,2006,"908,302"
IL,5,4,2007,"980,075"
IL,5,4,2008,"1,014,508"
IL,5,4,2009,"968,495"
IL,5,4,2010,"974,412"
IL,5,4,2011,"997,722"
IL,5,4,2012,"950,711"
IL,5,4,2013,"1,073,734"
IL,5,4,2014,"1,119,089"
IL,5,4,2015,"1,022,360"
IL,5,4,2016,"1,055,935"
IL,5,4,2017,"1,047,654"
IN,6,4,1960,"219,758"
IN,6,4,1961,"248,273"
IN,6,4,1962,"281,781"
IN,6,4,1963,"297,815"
IN,6,4,1964,"333,685"
IN,6,4,1965,"357,502"
IN,6,4,1966,"399,896"
IN,6,4,1967,"434,632"
IN,6,4,1968,"454,467"
IN,6,4,1969,"531,512"
IN,6,4,1970,"548,640"
IN,6,4,1971,"570,398"
IN,6,4,1972,"580,410"
IN,6,4,1973,"541,215"
IN,6,4,1974,"530,276"
IN,6,4,1975,"472,567"
IN,6,4,1976,"420,969"
IN,6,4,1977,"394,286"
IN,6,4,1978,"436,149"
IN,6,4,1979,"499,345"
IN,6,4,1980,"483,872"
IN,6,4,1981,"492,875"
IN,6,4,1982,"475,328"
IN,6,4,1983,"429,331"
IN,6,4,1984,"455,450"
IN,6,4,1985,"436,421"
IN,6,4,1986,"398,738"
IN,6,4,1987,"416,302"
IN,6,4,1988,"463,665"
IN,6,4,1989,"469,446"
IN,6,4,1990,"459,072"
IN,6,4,1991,"463,713"
IN,6,4,1992,"488,813"
IN,6,4,1993,"524,508"
IN,6,4,1994,"526,011"
IN,6,4,1995,"541,633"
IN,6,4,1996,"579,513"
IN,6,4,1997,"562,765"
IN,6,4,1998,"530,637"
IN,6,4,1999,"566,981"
IN,6,4,2000,"584,850"
IN,6,4,2001,"513,752"
IN,6,4,2002,"543,346"
IN,6,4,2003,"572,890"
IN,6,4,2004,"531,441"
IN,6,4,2005,"540,671"
IN,6,4,2006,"504,740"
IN,6,4,2007,"547,583"
IN,6,4,2008,"558,591"
IN,6,4,2009,"514,548"
IN,6,4,2010,"580,752"
IN,6,4,2011,"638,237"
IN,6,4,2012,"657,719"
IN,6,4,2013,"682,842"
